Time (s),Altitude (ft),"Vertical Speed (fps, +up)",Pitch (deg),Throttle,Fuel Mass (lbs),Lat Vel Body (fps),GridFin Cmd,Burn Phase
7.066666666666666,77433.49950601906,-475.4926883720046,43.24426369570778,0.0,300000.0,12.604712151818022,0.37805865977329267,0
7.075,77429.53594493493,-475.75819550878236,43.359848691342044,0.0,300000.0,12.675283499465985,0.37530337490675936,0
7.083333333333333,77425.5701712817,-476.0237022422713,43.47552186340321,0.0,300000.0,12.746117018275067,0.37254970683948385,0
7.091666666666667,77421.60218507051,-476.28920857158505,43.591282470188645,0.0,300000.0,12.817212758988347,0.3697976775527748,0
7.1,77417.63198629394,-476.55471449583786,43.70712976814475,0.0,300000.0,12.888570766270217,0.36704730903542604,0
7.108333333333333,77413.65957496315,-476.82022001414293,43.823063011868705,0.0,300000.0,12.960191078687128,0.36429862328350227,0
7.116666666666666,77409.68495107815,-477.0857251256141,43.93908145411045,0.0,300000.0,13.032073728690847,0.36155164230012105,0
7.125,77405.70811464638,-477.351229829363,44.05518434577436,0.0,300000.0,13.104218742599397,0.358806388095241,0
7.133333333333333,77401.72906566784,-477.6167341245036,44.17137093592124,0.0,300000.0,13.176626140580751,0.35606288268544284,0
7.141666666666667,77397.74780414999,-477.88223801014783,44.28764047176992,0.0,300000.0,13.249295936635328,0.3533211480937195,0
7.1499999999999995,77393.76433008537,-478.147741485407,44.40399219869909,0.0,300000.0,13.322228138578875,0.35058120634926004,0
7.158333333333333,77389.77864348888,-478.41324454939314,44.520425360248964,0.0,300000.0,13.395422748026881,0.34784307948723847,0
7.166666666666667,77385.79074435681,-478.67874720121836,44.63693919812306,0.0,300000.0,13.468879760376968,0.3451067895485991,0
7.175,77381.80063270032,-478.9442494399925,44.75353295218971,0.0,300000.0,13.542599164793799,0.34237235857984716,0
7.183333333333334,77377.8083085157,-479.20975126482756,44.87020586048385,0.0,300000.0,13.61658094419295,0.3396398086328356,0
7.191666666666666,77373.81377180666,-479.47525267483405,44.98695715920839,0.0,300000.0,13.690825075226101,0.33690916176455743,0
7.2,77369.81702258438,-479.7407536691221,45.10378608273597,0.0,300000.0,13.765331528264372,0.3341804400369329,0
