Time (s),Altitude (ft),"Vertical Speed (fps, +up)",Pitch (deg),Throttle,Fuel Mass (lbs),Lat Vel Body (fps),GridFin Cmd,Burn Phase
20.40833333333333,68255.0086590834,-900.3285316595081,83.68535037870508,0.0,300000.0,95.09231392487891,-1.0,0
20.416666666666668,68247.50479054824,-900.592759292709,83.85457498453147,0.0,300000.0,96.31624292247237,-1.0,0
20.425,68239.99872015044,-900.8569767672582,83.8854023550774,0.0,300000.0,97.5387168212344,-1.0,0
20.433333333333334,68232.49044796824,-901.1211840804634,83.77656770520674,0.0,300000.0,98.75941667315628,-1.0,0
20.441666666666666,68224.97997410595,-901.3854001448317,83.53588192626802,0.0,300000.0,99.97802898240457,-1.0,0
20.45,68217.46729832143,-901.6496257246138,83.17794622467939,0.0,300000.0,101.19424012191044,-1.0,0
20.458333333333332,68209.95242060721,-901.9138584657276,82.72064838987306,0.0,300000.0,102.40773883604476,-1.0,0
20.466666666666665,68202.43534092605,-902.1780983694696,82.18197422257788,0.0,300000.0,103.6182174867547,-1.0,0
20.475,68194.91605920717,-902.4423454371322,81.57805184201159,0.0,300000.0,104.82537186563466,-1.0,0
20.483333333333334,68187.39457539469,-902.7065996700105,80.92238381069103,0.0,300000.0,106.02890126207294,-1.0,0
20.491666666666667,68179.8708894141,-902.9708610694038,80.22583203432839,0.0,300000.0,107.22850852936153,-1.0,0
20.5,68172.34500122443,-903.2351296366082,79.49694937374193,0.0,300000.0,108.42390014876366,-1.0,0
20.508333333333333,68164.81691075861,-903.499405372922,78.74240710138196,0.0,300000.0,109.61478629154436,-1.0,0
20.516666666666666,68157.28661794588,-903.7636882796409,77.9673988193368,0.0,300000.0,110.80088087896141,-1.0,0
20.525,68149.7541227527,-904.0279783580584,77.17597878536859,0.0,300000.0,111.98190164022816,-1.0,0
20.53333333333333,68142.21942509338,-904.2922756094633,76.37132932070527,0.0,300000.0,113.15757016844401,-1.0,0
